"placename","othername","designator","location","remarks","infosource"
"MiII","G.","Mill","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"MiII","S S","Mill","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013"
"MiII","Saw","Mill","West Linville Creek","P. 14","1885 Lakes Atlas Revised 2013"
"MiIl","G(rist)","Mill","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"MiIl","G(rist)","Mill","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Milbank Mill","   -","Mill","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Milbank Mills","   -","Mill","A water powered mill on South Fork Shenandoah River. On SR 635. About .8 mi W of Elkton.","   -","HRHS Archives # 86 Whitmer"
"Mile Run","   -","Other","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Miles Rods","   -","Other","West Linville Creek","P. 14","1885 Lakes Atlas Revised 2013"
"Mill","Hopkins","Mill","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Mill at Wildwood Park","   -","Mill","Bridgewater","   -","HRHS Mill Books"
"Mill Bank","Millbank","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Mill Bank P O","   -","Post Office","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Mill Creek","Congers Creek, Duck Creek","Stream","Rises about .8 mi WNW of Cross Keys, near 38 21 47N, 78 51 23W, flows SSE about 7.1 mi into North River near 38 18 18N, 78 49 16W, about .8 mi NW of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Mill Creek","   -","Stream","Rises about 4.8 mi W of Moores Store, near 38 43 12N, 78 50 42W, flows E about 15 mi into North Fork Shenandoah River, just SE of Mt. Jackson near 38 44 29N, 78 38 16W.","   -","HRHS Archives # 86 Whitmer"
"Mill Creek","   -","Stream","Rises about 2.4 mi SW of Swift Run Gap, near 38 19 48N, 78 34 32W, flows NNW about 3.2 mi into Hawksbill Creek near 38 21 40N, 78 36 10W, about 3.1 mi W of Swift Run Gap","   -","HRHS Archives # 86 Whitmer"
"Mill Creek Church","Mill Creek German Baptist Church","Church","On SR 659. About 1.9 mi SE of Cross Keys","   -","HRHS Archives # 86 Whitmer"
"Mill Creek Church of the Brethren","Refer to Mill Creek Meetinghouse. (See also, Mill Creek Church of the Brethren Old)","Church","Port Republic, east of","Church of the Brethren","HRHS Churches Database 2013"
"Mill Creek Church of the Brethren (Old)","Refer to Mill Creek Meetinghouse. (See also, Mill Creek Church of the Brethren)","Church","Port Republic, east of","Church of the Brethren","HRHS Churches Database 2013"
"Mill Creek Church of the Brethren Cemetery","   -","Cemetery","Port Republic, Rockingham County, Virginia. From South Main St (Route 11) in Harrisonburg, turn West on Port Republic Road (Route 759) and proceed 8 miles, the church is on the right.","   -","HRHS Cemeteries Database 2013"
"Mill Creek Ger Bapt Ch.","   -","Church","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Mill Creek German Baptist Church","Mill Creek Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Mill Creek Meetinghouse","(See also, Mill Creek Church of the Brethren and Mill Creek Church of the Brethren (Old)","Church","Not Located","Dunkard","HRHS Churches Database 2013"
"Mill Creek School","No 26","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Mill Creek School Number 26","   -","School","On SR 659. About 1.9 mi SE of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
"Mill G&S","   -","Mill","Port Republic","P. 22","1885 Lakes Atlas Revised 2013"
"Mill Pond Spring","Silver Lake","Lake","Dayton","Early name for Silver Lake","Other Sources"
"Mill S&G","   -","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Mill S&G","   -","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Mill.","Grist","Mill","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Millbank","Mill Bank, Millbank Post Office","Community","At intersection of business Rt. U.S. 33 and SR 635. About .7 mi W of Elkton.","   -","HRHS Archives # 86 Whitmer"
"Millbank Post Office","Mill Bank, Millbank","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Mille Run","Onemile Run","Stream","Rises about 3.1 mi E of Rockytop.","   -","HRHS Archives # 86 Whitmer"
"Miller","Mrs. G.","Structure","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Miller Addition","   -","Community","A subdivision in Elkton. Old U.S. Rt.33 on N, Water St. on S, Harnsberger St. on E, Railroad Tracks to West","   -","HRHS Archives # 86 Whitmer"
"Miller Family Cemetery","   -","Cemetery","Pineville area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Located on farm of Jacob P. Kyger on Route 865. (Note-Route 865 is located in west Rockingham County. Believe this should be Route 655 Lawyer Road)","   -","HRHS Cemeteries Database 2013"
"Miller Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. From Fulks Run Grocery, continue west on Route 259 for about 2 miles.  Turn left onto Route 819 (Yankeytown Road also Marshall Run Road).  After crossing the bridge, take the first left onto a gravel lane to  A","   -","HRHS Cemeteries Database 2013"
"Miller Family Cemetery","   -","Cemetery","Rockingham County, Virginia. From Route 42 North, turn left onto Route 763 (Mt. Clinton Pike/Singers Glen Road). Before you reach Route 701 (Cooks Creek Road). Located on the Spangler farm.","   -","HRHS Cemeteries Database 2013"
"Miller House","   -","Structure","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"Miller Road","   -","Road","A road enxtending generally NNE-SSW. Begins at intersection of U.S. Rt.42 & 699, about 2.9 mi WNW of Mt. Crawford, ends probably at Western intersection of SR 646 & 699, at Centerville in Augusta Co. Is now portion of present day SR 699. Extends abou","   -","HRHS Archives # 86 Whitmer"
"Miller Run","Millers Run","Stream","Rises about 1 mi SSE of Furnace Mountain, near 38 13 59N, 78 45 24W, flows NW about 6.2 mi into South River, near 38 17 17N, 78 49 00W, about .6 mi SW of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Miller Spring Run","Big Laural Run","Stream","Rises about 1.7 mi N of Bald Knob, near 38 36 49N, 79 03 30W, flows W about 3 mi into Dry River near 38 36 36N, 79 05 58W, about 2.5 mi NW of Bald Knob.","   -","HRHS Archives # 86 Whitmer"
"Miller-Pence Family Cemetery","   -","Cemetery","East Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Was located on farm now owned by John Heatwole-Route 865. (Note-Route 865 is located in west Rockingham County. Believe this should be Route 655 (Lawyer Road).)","   -","HRHS Cemeteries Database 2013"
"Millers Knob","   -","Hill","Elevation about 1680'. About 1.6 mi NW of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Millers Knob","   -","Hill","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Millers Mill","   -","Mill","Silver Creek, Montezuma","   -","HRHS Mill Books"
"Millers Run","   -","Stream","Rises about 1 mi SSE of Furnace Mountain","   -","HRHS Archives # 86 Whitmer"
"Miller-Wine Road","   -","Road","A road entending generally SE-NW. Begins at intersection of SR 614 and 812, about 2.5 mi SW of Moores Store in Shenandoah Co., ends at intersection of SR 613 & 812, about 2.7 mi WSW of Moores Store. Isnow part of present day SR 812. Extends about 1.7","   -","HRHS Archives # 86 Whitmer"
"Mills","Broadway","Mill","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Mills","Craney Is","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Mills","River Bank","Mill","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Mills","S&G","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Mills","Stoney Pt.","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Mills","   -","Mill","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Milnes","   -","Community","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Milstadt","   -","Other","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Milstead","   -","Other","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Mine Mountain","   -","Mountain","Shows as extending NW-SE about 2.5 mi from SE side of Shenandoah Mntn. Center about 3.8 mi NW of Bergton","   -","HRHS Archives # 86 Whitmer"
"Mineral Lands","   -","Business","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013"
"Mineral Lands B H",,"Business","West Plains","P. 26","1885 Lakes Atlas Revised 2013"
"Mines Hollow Road","   -","Road","West Ashby","P. 8","1885 Lakes Atlas Revised 2013"
"Mines Hollow Run","Mines Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Mines Run","Mines Hollow Run","Stream","Rises about 2.5 mi NE of Reddish Knob, near 38 29 23N, 79 12 38W, flows SE about 4 mi into Briery Branch at Briery Branch Dam, near 38 27 06N, 79 09 45W, about 4.5 mi E of Reddish Knob","   -","HRHS Archives # 86 Whitmer"
"Mines Run Trail","   -","Road","A jeep trail in George Washington Natl Forest, extending SE-NW about 2.5 mi along Mines jRun. Center near 38 27 43N, 79 10 47W","   -","HRHS Archives # 86 Whitmer"
"Minnick Family Cemetery","   -","Cemetery","Rockingham County, Virginia. From Harrisonburg, Virginia, go south on Route 42 (John Wayland Highway) to Dayton. Then turn right (West) on Rt. 257 (Ottobine Rd). Drive six miles to the intersection of Rt. 257 and Rt. 613. The Ottobine Store is on the","   -","HRHS Cemeteries Database 2013"
"Model Mill","   -","Mill","McGaheysville","   -","HRHS Mill Books"
"Model Mills","   -","Mill","A water powered mill on Smith Creek, on SR 796. About 1.8 mi NE of 10th Legion.","   -","HRHS Archives # 86 Whitmer"
"Model Mills","   -","Mill","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Model School","   -","School","On SR 640. About 3.5 mi WSW of Elkton.","   -","HRHS Archives # 86 Whitmer"
"Moffett & Eastham","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Moffett & Eastham","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Moffett Family Cemetery","   -","Cemetery","Near Timberville, Rockingham County, Virginia. From Harrisonburg take Route 42 north to Timberville.  Stay on Route 42 through Timberville & turn right onto Route 211 (New Market Road).  Proceed to Route 953 (Plains Mill Road) and take a left.  Go ap","   -","HRHS Cemeteries Database 2013"
"Moffett?s Meetinghouse","   -","Church","Augusta County","Methodist Episcopal","HRHS Churches Database 2013"
"Mole Hill","   -","Hill","Elevation 1895'. About 4 mi W of Harrisonburg.","   -","HRHS Archives # 86 Whitmer"
"Mole Hill","   -","Hill","   -","   -","Other Sources"
"Mole Hill Mtn.","   -","Mountain","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Monger Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Located on land owned by Russell Monger, about 1/2 mile north of Road 623 (Mt. Pleasant Road) east of Elkton and about one mile west of Mt. Pleasant Methodist Church","   -","HRHS Cemeteries Database 2013"
"Monger Run","   -","Stream","Rises about 4.6 mi W of Elkton near 38 23 34N, 78 42 28W, flows E about 2.7 mi into South Fork Shenandoah River near 38 23 08N , 78 39 47W, about 2.5 mi WSW of Elkton.","   -","HRHS Archives # 86 Whitmer"
"Mongold Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. Located on Mongold Hollow Road (Route 666) and on the late Michael Fink farm and in 2002 farm is owned by Glenna (Fink) Ritchie Miller. Cemetery is on top of a hill at the back of Glenna's house.","   -","HRHS Cemeteries Database 2013"
"Mongold Family Cemetery","   -","Cemetery","Bergton area, Rockingham County, Virginia. Located on Branch Mountain west of Bergton, Virginia.","   -","HRHS Cemeteries Database 2013"
"Mongold Hollow","   -","Valley","Runs NNw to SSE. Extends about 3.7 mi, mouth of hollow opens onto Crab Run, near 38 47 55N, 78 57 42W. Hollow begins near 38 50 13N, 78 59 37W. Center about 3.7 mi NW of Bergton.","   -","HRHS Archives # 86 Whitmer"
"Mongold Hollow Run","Sirks Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Montevideo","Montivedo, Montevideo Post Office","Community","At intersection of SR 672 and 996. Abut 4.1 mi E of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
"Montevideo Mill","   -","Mill","Montevideo","   -","HRHS Mill Books"
"Montevideo P O","   -","Post Office","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Montevideo Post Office","Montevideo, Montivedo","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Montezuma","   -","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Montezuma Church of the Brethren","Refer to: Montezuma Church of the Brethren (Old)","Church","Montezuma.","Church of the Brethren","HRHS Churches Database 2013"
"Montezuma Church of the Brethren (Old)","(See also, Montezuma Church of the Brethren)","Church","Montezuma (No longer exists)","Church of the Brethren","HRHS Churches Database 2013"
"Montivedo","Montevideo, Montevideo Post Office","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Moore Cemetery","   -","Cemetery","Near Melrose, Rockingham County, Virginia. From Court Square in Harrisonburg, Virginia, take U.S. Route 11 (No. Valley Pike), go 7.5 miles and cemetery is on the left side of the road beside the Nelson Adams home (6393 No. Valley Pike).","   -","HRHS Cemeteries Database 2013"
"Moore Family Cemetery","   -","Cemetery","North Rockingham County, Virginia. From Harrisonburg, take Route 11 (No. Valley Pike) several miles and just before the Mooreland home, turn right onto Route 796 (Moores Mill Road). Go about ? mile and just before you cross Smith Creek, cemetery is o","   -","HRHS Cemeteries Database 2013"
"Moore Hollow","   -","Valley","Runs SE and opens onto Runion Creek. About 1 mi long. Center near 38 39 37N, 78 52 52W. About 1.4 mi N of Brocks Gap","   -","HRHS Archives # 86 Whitmer"
"Morgan Knob","   -","Hill","Elevation about 3080'. Located near the NE end of Third Mountain. About 5.5 mi SSE of 10th Legion.","   -","HRHS Archives # 86 Whitmer"
"Morgan Run","   -","Stream","Rises about 5.3 mi SSE of 10th Legion, near 38 30 28N, 78 41 24W, flows NE about 2.6 mi into Cub Run in Page Co. near 38 31 24N, 78 39 27W, about 5.5 mi SE of 10th Legion.","   -","HRHS Archives # 86 Whitmer"
"Morning View Church","   -","Church","About 2.3 mi N of Singers Glen on SR 776.","   -","HRHS Archives # 86 Whitmer"
"Morning View Mennonite Church","   -","Church","Singers Glen, west of","Mennonite","HRHS Churches Database 2013"
"Morris Cemetery (#)","   -","Cemetery","Grottoes area, Rockingham County, Virginia. Located on Route 340 (East Side Highway) to Route 659 (Port Republic Road) by Grace Memorial Church. (Most of people spoken to in 2009 did not remember graveyard at intersection.  However one elderly man di"," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Morris Cemetery AKA Lay Cemetery (#)","   -","Cemetery","North of Elkton, Rockingham County, Virginia. Located on Route 603 (Blose Road or Fleeburg Road). Present owner Robert J. Williams, former owner Joseph Morris."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Mossy Creek","   -","Stream","Rises about 3.5 mi S of Stokesville in Augusta Co., near 38 18 13N, 79 07 53W, flows NE about 11 mi into North River near 38 23 23N, 79 00 42W, about 4.8 mi SE of Briery Branch community.","   -","HRHS Archives # 86 Whitmer"
"Mossy Creek Presbyterian Church","   -","Church","Augusta County, South of Bridgewater","Presbyterian","HRHS Churches Database 2013"
"Mount Bethel Church","   -","Church","At intersdection of SR 742 and 869. About 2.9 mi NNE of Ottobine.","   -","HRHS Archives # 86 Whitmer"
"Mount Carmel Church","   -","Church","On SR 817. About 1.7 mi SW of Fulks Run.","   -","HRHS Archives # 86 Whitmer"
"Mount Clinton","Mount Clinton Post Office, Mt. Clinton Station","Community","At intersection of SR 752 and 726. Bout 1.5 mi NNE of Hinton","   -","HRHS Archives # 86 Whitmer"
"Mount Clinton Church","   -","Church","On SR 726. About 1.8 mi N of Hinton.","   -","HRHS Archives # 86 Whitmer"
"Mount Clinton Pike","   -","Road","A road extending generally E-W. Begins at Eastern intersection of SR 763 and 765, about 3.2 mi NW of Mole Hill, ends at Eastern Intersection of SR 613 and 726. Is now portions of present day SR 765 and 726. Extends about 4.3 mi.","   -","HRHS Archives # 86 Whitmer"
